city,year,weekofyear,total_cases
iq,2010,26,3
iq,2010,27,2
iq,2010,28,2
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,3
iq,2010,37,3
iq,2010,38,3
iq,2010,39,3
iq,2010,40,3
iq,2010,41,3
iq,2010,42,3
iq,2010,43,3
iq,2010,44,3
iq,2010,45,3
iq,2010,46,3
iq,2010,47,3
iq,2010,48,3
iq,2010,49,3
iq,2010,50,3
iq,2010,51,3
iq,2011,52,3
iq,2011,1,3
iq,2011,2,3
iq,2011,3,3
iq,2011,4,3
iq,2011,5,3
iq,2011,6,3
iq,2011,7,3
iq,2011,8,3
iq,2011,9,3
iq,2011,10,3
iq,2011,11,3
iq,2011,12,3
iq,2011,13,3
iq,2011,14,3
iq,2011,15,3
iq,2011,16,3
iq,2011,17,3
iq,2011,18,3
iq,2011,19,3
iq,2011,20,3
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,4
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,3
iq,2011,38,3
iq,2011,39,4
iq,2011,40,3
iq,2011,41,4
iq,2011,42,3
iq,2011,43,3
iq,2011,44,4
iq,2011,45,3
iq,2011,46,3
iq,2011,47,3
iq,2011,48,3
iq,2011,49,4
iq,2011,50,4
iq,2011,51,4
iq,2012,52,4
iq,2012,1,4
iq,2012,2,4
iq,2012,3,3
iq,2012,4,3
iq,2012,5,3
iq,2012,6,4
iq,2012,7,4
iq,2012,8,4
iq,2012,9,4
iq,2012,10,4
iq,2012,11,4
iq,2012,12,4
iq,2012,13,3
iq,2012,14,3
iq,2012,15,4
iq,2012,16,4
iq,2012,17,4
iq,2012,18,4
iq,2012,19,4
iq,2012,20,4
iq,2012,21,4
iq,2012,22,4
iq,2012,23,3
iq,2012,24,3
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,3
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,4
iq,2012,41,4
iq,2012,42,4
iq,2012,43,4
iq,2012,44,4
iq,2012,45,4
iq,2012,46,4
iq,2012,47,4
iq,2012,48,4
iq,2012,49,5
iq,2012,50,4
iq,2012,51,4
iq,2013,1,4
iq,2013,2,4
iq,2013,3,4
iq,2013,4,4
iq,2013,5,4
iq,2013,6,4
iq,2013,7,4
iq,2013,8,5
iq,2013,9,4
iq,2013,10,4
iq,2013,11,4
iq,2013,12,4
iq,2013,13,4
iq,2013,14,4
iq,2013,15,4
iq,2013,16,5
iq,2013,17,4
iq,2013,18,5
iq,2013,19,4
iq,2013,20,4
iq,2013,21,5
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,4
iq,2013,26,5
