city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,6
sj,2008,20,6
sj,2008,21,10
sj,2008,22,11
sj,2008,23,15
sj,2008,24,12
sj,2008,25,14
sj,2008,26,23
sj,2008,27,16
sj,2008,28,19
sj,2008,29,15
sj,2008,30,37
sj,2008,31,33
sj,2008,32,56
sj,2008,33,71
sj,2008,34,47
sj,2008,35,93
sj,2008,36,94
sj,2008,37,115
sj,2008,38,74
sj,2008,39,41
sj,2008,40,38
sj,2008,41,49
sj,2008,42,44
sj,2008,43,36
sj,2008,44,34
sj,2008,45,42
sj,2008,46,31
sj,2008,47,36
sj,2008,48,33
sj,2008,49,18
sj,2008,50,20
sj,2008,51,27
sj,2008,52,9
sj,2009,1,16
sj,2009,2,18
sj,2009,3,14
sj,2009,4,14
sj,2009,5,15
sj,2009,6,12
sj,2009,7,12
sj,2009,8,11
sj,2009,9,10
sj,2009,10,8
sj,2009,11,5
sj,2009,12,6
sj,2009,13,5
sj,2009,14,3
sj,2009,15,3
sj,2009,16,4
sj,2009,17,5
sj,2009,18,3
sj,2009,19,1
sj,2009,20,3
sj,2009,21,0
sj,2009,22,11
sj,2009,23,7
sj,2009,24,12
sj,2009,25,13
sj,2009,26,8
sj,2009,27,36
sj,2009,28,37
sj,2009,29,40
sj,2009,30,46
sj,2009,31,43
sj,2009,32,60
sj,2009,33,63
sj,2009,34,52
sj,2009,35,69
sj,2009,36,67
sj,2009,37,40
sj,2009,38,82
sj,2009,39,65
sj,2009,40,91
sj,2009,41,92
sj,2009,42,90
sj,2009,43,86
sj,2009,44,62
sj,2009,45,26
sj,2009,46,26
sj,2009,47,36
sj,2009,48,38
sj,2009,49,24
sj,2009,50,17
sj,2009,51,27
sj,2009,52,26
sj,2010,53,12
sj,2010,1,14
sj,2010,2,14
sj,2010,3,14
sj,2010,4,14
sj,2010,5,13
sj,2010,6,15
sj,2010,7,14
sj,2010,8,14
sj,2010,9,12
sj,2010,10,7
sj,2010,11,6
sj,2010,12,7
sj,2010,13,11
sj,2010,14,5
sj,2010,15,4
sj,2010,16,6
sj,2010,17,15
sj,2010,18,16
sj,2010,19,11
sj,2010,20,18
sj,2010,21,17
sj,2010,22,24
sj,2010,23,24
sj,2010,24,32
sj,2010,25,27
sj,2010,26,27
sj,2010,27,44
sj,2010,28,52
sj,2010,29,32
sj,2010,30,21
sj,2010,31,63
sj,2010,32,78
sj,2010,33,70
sj,2010,34,70
sj,2010,35,81
sj,2010,36,91
sj,2010,37,79
sj,2010,38,87
sj,2010,39,81
sj,2010,40,62
sj,2010,41,111
sj,2010,42,87
sj,2010,43,67
sj,2010,44,32
sj,2010,45,39
sj,2010,46,21
sj,2010,47,22
sj,2010,48,13
sj,2010,49,12
sj,2010,50,19
sj,2010,51,11
sj,2011,52,7
sj,2011,1,9
sj,2011,2,17
sj,2011,3,18
sj,2011,4,16
sj,2011,5,14
sj,2011,6,11
sj,2011,7,12
sj,2011,8,12
sj,2011,9,10
sj,2011,10,5
sj,2011,11,6
sj,2011,12,5
sj,2011,13,5
sj,2011,14,4
sj,2011,15,3
sj,2011,16,3
sj,2011,17,3
sj,2011,18,3
sj,2011,19,0
sj,2011,20,3
sj,2011,21,5
sj,2011,22,20
sj,2011,23,23
sj,2011,24,23
sj,2011,25,30
sj,2011,26,32
sj,2011,27,26
sj,2011,28,24
sj,2011,29,15
sj,2011,30,20
sj,2011,31,18
sj,2011,32,56
sj,2011,33,62
sj,2011,34,57
sj,2011,35,58
sj,2011,36,64
sj,2011,37,79
sj,2011,38,29
sj,2011,39,32
sj,2011,40,80
sj,2011,41,62
sj,2011,42,35
sj,2011,43,20
sj,2011,44,34
sj,2011,45,30
sj,2011,46,29
sj,2011,47,26
sj,2011,48,30
sj,2011,49,20
sj,2011,50,30
sj,2011,51,9
sj,2012,52,8
sj,2012,1,15
sj,2012,2,13
sj,2012,3,17
sj,2012,4,16
sj,2012,5,13
sj,2012,6,11
sj,2012,7,10
sj,2012,8,11
sj,2012,9,10
sj,2012,10,6
sj,2012,11,5
sj,2012,12,5
sj,2012,13,7
sj,2012,14,6
sj,2012,15,2
sj,2012,16,6
sj,2012,17,4
sj,2012,18,7
sj,2012,19,4
sj,2012,20,16
sj,2012,21,7
sj,2012,22,8
sj,2012,23,23
sj,2012,24,23
sj,2012,25,31
sj,2012,26,25
sj,2012,27,33
sj,2012,28,17
sj,2012,29,14
sj,2012,30,16
sj,2012,31,40
sj,2012,32,24
sj,2012,33,53
sj,2012,34,52
sj,2012,35,21
sj,2012,36,55
sj,2012,37,94
sj,2012,38,97
sj,2012,39,92
sj,2012,40,82
sj,2012,41,63
sj,2012,42,57
sj,2012,43,64
sj,2012,44,88
sj,2012,45,52
sj,2012,46,42
sj,2012,47,27
sj,2012,48,26
sj,2012,49,24
sj,2012,50,18
sj,2012,51,9
sj,2013,1,13
sj,2013,2,11
sj,2013,3,14
sj,2013,4,15
sj,2013,5,13
sj,2013,6,13
sj,2013,7,11
sj,2013,8,12
sj,2013,9,10
sj,2013,10,9
sj,2013,11,5
sj,2013,12,5
sj,2013,13,5
sj,2013,14,3
sj,2013,15,7
sj,2013,16,4
sj,2013,17,4
iq,2010,26,4
iq,2010,27,3
iq,2010,28,7
iq,2010,29,4
iq,2010,30,3
iq,2010,31,4
iq,2010,32,3
iq,2010,33,6
iq,2010,34,0
iq,2010,35,6
iq,2010,36,4
iq,2010,37,2
iq,2010,38,-2
iq,2010,39,1
iq,2010,40,42
iq,2010,41,7
iq,2010,42,13
iq,2010,43,7
iq,2010,44,6
iq,2010,45,9
iq,2010,46,8
iq,2010,47,10
iq,2010,48,10
iq,2010,49,10
iq,2010,50,9
iq,2010,51,7
iq,2011,52,16
iq,2011,1,20
iq,2011,2,12
iq,2011,3,17
iq,2011,4,15
iq,2011,5,14
iq,2011,6,15
iq,2011,7,13
iq,2011,8,14
iq,2011,9,12
iq,2011,10,13
iq,2011,11,9
iq,2011,12,7
iq,2011,13,9
iq,2011,14,6
iq,2011,15,5
iq,2011,16,6
iq,2011,17,6
iq,2011,18,7
iq,2011,19,3
iq,2011,20,5
iq,2011,21,4
iq,2011,22,4
iq,2011,23,5
iq,2011,24,3
iq,2011,25,3
iq,2011,26,8
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,3
iq,2011,33,3
iq,2011,34,2
iq,2011,35,3
iq,2011,36,2
iq,2011,37,3
iq,2011,38,0
iq,2011,39,15
iq,2011,40,10
iq,2011,41,11
iq,2011,42,7
iq,2011,43,13
iq,2011,44,6
iq,2011,45,13
iq,2011,46,12
iq,2011,47,9
iq,2011,48,7
iq,2011,49,16
iq,2011,50,12
iq,2011,51,17
iq,2012,52,3
iq,2012,1,13
iq,2012,2,14
iq,2012,3,15
iq,2012,4,16
iq,2012,5,18
iq,2012,6,14
iq,2012,7,18
iq,2012,8,13
iq,2012,9,10
iq,2012,10,8
iq,2012,11,6
iq,2012,12,4
iq,2012,13,8
iq,2012,14,3
iq,2012,15,5
iq,2012,16,4
iq,2012,17,6
iq,2012,18,6
iq,2012,19,3
iq,2012,20,6
iq,2012,21,4
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,4
iq,2012,26,3
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,3
iq,2012,32,2
iq,2012,33,4
iq,2012,34,3
iq,2012,35,6
iq,2012,36,12
iq,2012,37,2
iq,2012,38,3
iq,2012,39,6
iq,2012,40,6
iq,2012,41,12
iq,2012,42,11
iq,2012,43,13
iq,2012,44,8
iq,2012,45,7
iq,2012,46,11
iq,2012,47,24
iq,2012,48,17
iq,2012,49,13
iq,2012,50,6
iq,2012,51,2
iq,2013,1,14
iq,2013,2,16
iq,2013,3,19
iq,2013,4,14
iq,2013,5,22
iq,2013,6,17
iq,2013,7,14
iq,2013,8,14
iq,2013,9,16
iq,2013,10,9
iq,2013,11,9
iq,2013,12,8
iq,2013,13,7
iq,2013,14,9
iq,2013,15,7
iq,2013,16,6
iq,2013,17,9
iq,2013,18,2
iq,2013,19,5
iq,2013,20,7
iq,2013,21,3
iq,2013,22,6
iq,2013,23,3
iq,2013,24,3
iq,2013,25,4
iq,2013,26,3
