city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,4
sj,2008,21,5
sj,2008,22,4
sj,2008,23,5
sj,2008,24,4
sj,2008,25,6
sj,2008,26,5
sj,2008,27,5
sj,2008,28,5
sj,2008,29,6
sj,2008,30,5
sj,2008,31,7
sj,2008,32,6
sj,2008,33,7
sj,2008,34,6
sj,2008,35,7
sj,2008,36,7
sj,2008,37,8
sj,2008,38,7
sj,2008,39,8
sj,2008,40,7
sj,2008,41,8
sj,2008,42,7
sj,2008,43,7
sj,2008,44,6
sj,2008,45,7
sj,2008,46,7
sj,2008,47,7
sj,2008,48,6
sj,2008,49,7
sj,2008,50,6
sj,2008,51,7
sj,2008,52,5
sj,2009,1,6
sj,2009,2,5
sj,2009,3,6
sj,2009,4,6
sj,2009,5,6
sj,2009,6,5
sj,2009,7,6
sj,2009,8,5
sj,2009,9,6
sj,2009,10,5
sj,2009,11,6
sj,2009,12,5
sj,2009,13,6
sj,2009,14,5
sj,2009,15,6
sj,2009,16,5
sj,2009,17,6
sj,2009,18,5
sj,2009,19,6
sj,2009,20,5
sj,2009,21,6
sj,2009,22,6
sj,2009,23,7
sj,2009,24,6
sj,2009,25,7
sj,2009,26,6
sj,2009,27,8
sj,2009,28,8
sj,2009,29,8
sj,2009,30,8
sj,2009,31,9
sj,2009,32,8
sj,2009,33,9
sj,2009,34,8
sj,2009,35,10
sj,2009,36,8
sj,2009,37,9
sj,2009,38,8
sj,2009,39,9
sj,2009,40,9
sj,2009,41,10
sj,2009,42,9
sj,2009,43,9
sj,2009,44,9
sj,2009,45,9
sj,2009,46,8
sj,2009,47,9
sj,2009,48,9
sj,2009,49,9
sj,2009,50,8
sj,2009,51,8
sj,2009,52,7
sj,2010,53,8
sj,2010,1,7
sj,2010,2,9
sj,2010,3,8
sj,2010,4,9
sj,2010,5,7
sj,2010,6,8
sj,2010,7,8
sj,2010,8,9
sj,2010,9,8
sj,2010,10,8
sj,2010,11,8
sj,2010,12,8
sj,2010,13,8
sj,2010,14,8
sj,2010,15,7
sj,2010,16,8
sj,2010,17,8
sj,2010,18,9
sj,2010,19,8
sj,2010,20,9
sj,2010,21,9
sj,2010,22,10
sj,2010,23,9
sj,2010,24,10
sj,2010,25,9
sj,2010,26,10
sj,2010,27,10
sj,2010,28,11
sj,2010,29,10
sj,2010,30,11
sj,2010,31,10
sj,2010,32,12
sj,2010,33,11
sj,2010,34,12
sj,2010,35,11
sj,2010,36,12
sj,2010,37,11
sj,2010,38,12
sj,2010,39,11
sj,2010,40,12
sj,2010,41,11
sj,2010,42,11
sj,2010,43,11
sj,2010,44,11
sj,2010,45,11
sj,2010,46,10
sj,2010,47,10
sj,2010,48,10
sj,2010,49,9
sj,2010,50,10
sj,2010,51,9
sj,2011,52,10
sj,2011,1,10
sj,2011,2,11
sj,2011,3,10
sj,2011,4,11
sj,2011,5,10
sj,2011,6,10
sj,2011,7,10
sj,2011,8,10
sj,2011,9,9
sj,2011,10,10
sj,2011,11,9
sj,2011,12,10
sj,2011,13,9
sj,2011,14,10
sj,2011,15,9
sj,2011,16,10
sj,2011,17,9
sj,2011,18,10
sj,2011,19,9
sj,2011,20,10
sj,2011,21,10
sj,2011,22,12
sj,2011,23,11
sj,2011,24,12
sj,2011,25,11
sj,2011,26,12
sj,2011,27,11
sj,2011,28,12
sj,2011,29,11
sj,2011,30,13
sj,2011,31,12
sj,2011,32,13
sj,2011,33,13
sj,2011,34,13
sj,2011,35,13
sj,2011,36,13
sj,2011,37,13
sj,2011,38,13
sj,2011,39,13
sj,2011,40,14
sj,2011,41,13
sj,2011,42,14
sj,2011,43,12
sj,2011,44,14
sj,2011,45,13
sj,2011,46,13
sj,2011,47,12
sj,2011,48,13
sj,2011,49,12
sj,2011,50,13
sj,2011,51,11
sj,2012,52,12
sj,2012,1,12
sj,2012,2,13
sj,2012,3,12
sj,2012,4,12
sj,2012,5,12
sj,2012,6,13
sj,2012,7,12
sj,2012,8,13
sj,2012,9,12
sj,2012,10,12
sj,2012,11,11
sj,2012,12,12
sj,2012,13,11
sj,2012,14,12
sj,2012,15,11
sj,2012,16,13
sj,2012,17,12
sj,2012,18,13
sj,2012,19,11
sj,2012,20,13
sj,2012,21,12
sj,2012,22,13
sj,2012,23,13
sj,2012,24,14
sj,2012,25,14
sj,2012,26,14
sj,2012,27,13
sj,2012,28,14
sj,2012,29,14
sj,2012,30,15
sj,2012,31,14
sj,2012,32,15
sj,2012,33,15
sj,2012,34,15
sj,2012,35,14
sj,2012,36,15
sj,2012,37,15
sj,2012,38,16
sj,2012,39,15
sj,2012,40,16
sj,2012,41,15
sj,2012,42,16
sj,2012,43,15
sj,2012,44,17
sj,2012,45,15
sj,2012,46,15
sj,2012,47,15
sj,2012,48,15
sj,2012,49,14
sj,2012,50,15
sj,2012,51,13
sj,2013,1,15
sj,2013,2,14
sj,2013,3,15
sj,2013,4,14
sj,2013,5,15
sj,2013,6,14
sj,2013,7,15
sj,2013,8,14
sj,2013,9,15
sj,2013,10,13
sj,2013,11,14
sj,2013,12,13
sj,2013,13,15
sj,2013,14,14
sj,2013,15,15
sj,2013,16,14
sj,2013,17,14
iq,2010,26,14
iq,2010,27,15
iq,2010,28,14
iq,2010,29,14
iq,2010,30,14
iq,2010,31,15
iq,2010,32,14
iq,2010,33,15
iq,2010,34,14
iq,2010,35,15
iq,2010,36,14
iq,2010,37,15
iq,2010,38,14
iq,2010,39,15
iq,2010,40,15
iq,2010,41,15
iq,2010,42,15
iq,2010,43,16
iq,2010,44,15
iq,2010,45,16
iq,2010,46,15
iq,2010,47,16
iq,2010,48,15
iq,2010,49,16
iq,2010,50,14
iq,2010,51,15
iq,2011,52,15
iq,2011,1,17
iq,2011,2,16
iq,2011,3,17
iq,2011,4,16
iq,2011,5,17
iq,2011,6,17
iq,2011,7,17
iq,2011,8,17
iq,2011,9,17
iq,2011,10,16
iq,2011,11,17
iq,2011,12,16
iq,2011,13,17
iq,2011,14,16
iq,2011,15,17
iq,2011,16,16
iq,2011,17,17
iq,2011,18,16
iq,2011,19,16
iq,2011,20,16
iq,2011,21,17
iq,2011,22,16
iq,2011,23,16
iq,2011,24,16
iq,2011,25,16
iq,2011,26,16
iq,2011,27,16
iq,2011,28,16
iq,2011,29,17
iq,2011,30,16
iq,2011,31,17
iq,2011,32,17
iq,2011,33,17
iq,2011,34,16
iq,2011,35,17
iq,2011,36,16
iq,2011,37,17
iq,2011,38,17
iq,2011,39,17
iq,2011,40,17
iq,2011,41,17
iq,2011,42,17
iq,2011,43,18
iq,2011,44,17
iq,2011,45,18
iq,2011,46,17
iq,2011,47,18
iq,2011,48,17
iq,2011,49,18
iq,2011,50,17
iq,2011,51,18
iq,2012,52,17
iq,2012,1,19
iq,2012,2,18
iq,2012,3,19
iq,2012,4,19
iq,2012,5,19
iq,2012,6,18
iq,2012,7,20
iq,2012,8,19
iq,2012,9,19
iq,2012,10,18
iq,2012,11,18
iq,2012,12,18
iq,2012,13,19
iq,2012,14,18
iq,2012,15,19
iq,2012,16,18
iq,2012,17,19
iq,2012,18,18
iq,2012,19,19
iq,2012,20,18
iq,2012,21,19
iq,2012,22,18
iq,2012,23,19
iq,2012,24,18
iq,2012,25,19
iq,2012,26,18
iq,2012,27,19
iq,2012,28,18
iq,2012,29,19
iq,2012,30,18
iq,2012,31,19
iq,2012,32,18
iq,2012,33,19
iq,2012,34,19
iq,2012,35,19
iq,2012,36,18
iq,2012,37,19
iq,2012,38,18
iq,2012,39,20
iq,2012,40,19
iq,2012,41,20
iq,2012,42,19
iq,2012,43,20
iq,2012,44,19
iq,2012,45,20
iq,2012,46,19
iq,2012,47,20
iq,2012,48,20
iq,2012,49,20
iq,2012,50,19
iq,2012,51,19
iq,2013,1,20
iq,2013,2,21
iq,2013,3,20
iq,2013,4,22
iq,2013,5,21
iq,2013,6,22
iq,2013,7,21
iq,2013,8,22
iq,2013,9,21
iq,2013,10,21
iq,2013,11,21
iq,2013,12,21
iq,2013,13,21
iq,2013,14,21
iq,2013,15,20
iq,2013,16,21
iq,2013,17,21
iq,2013,18,21
iq,2013,19,20
iq,2013,20,21
iq,2013,21,20
iq,2013,22,21
iq,2013,23,20
iq,2013,24,21
iq,2013,25,20
iq,2013,26,21
