city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,6
sj,2008,20,9
sj,2008,21,8
sj,2008,22,7
sj,2008,23,5
sj,2008,24,6
sj,2008,25,8
sj,2008,26,14
sj,2008,27,14
sj,2008,28,12
sj,2008,29,20
sj,2008,30,10
sj,2008,31,25
sj,2008,32,33
sj,2008,33,47
sj,2008,34,57
sj,2008,35,50
sj,2008,36,80
sj,2008,37,76
sj,2008,38,82
sj,2008,39,67
sj,2008,40,69
sj,2008,41,53
sj,2008,42,45
sj,2008,43,46
sj,2008,44,43
sj,2008,45,44
sj,2008,46,24
sj,2008,47,22
sj,2008,48,17
sj,2008,49,26
sj,2008,50,28
sj,2008,51,26
sj,2008,52,51
sj,2009,1,24
sj,2009,2,19
sj,2009,3,15
sj,2009,4,16
sj,2009,5,13
sj,2009,6,11
sj,2009,7,13
sj,2009,8,13
sj,2009,9,11
sj,2009,10,11
sj,2009,11,8
sj,2009,12,7
sj,2009,13,10
sj,2009,14,4
sj,2009,15,6
sj,2009,16,4
sj,2009,17,2
sj,2009,18,6
sj,2009,19,4
sj,2009,20,5
sj,2009,21,5
sj,2009,22,6
sj,2009,23,7
sj,2009,24,8
sj,2009,25,6
sj,2009,26,7
sj,2009,27,24
sj,2009,28,15
sj,2009,29,20
sj,2009,30,27
sj,2009,31,37
sj,2009,32,36
sj,2009,33,42
sj,2009,34,33
sj,2009,35,37
sj,2009,36,41
sj,2009,37,30
sj,2009,38,41
sj,2009,39,51
sj,2009,40,55
sj,2009,41,66
sj,2009,42,60
sj,2009,43,37
sj,2009,44,42
sj,2009,45,51
sj,2009,46,37
sj,2009,47,32
sj,2009,48,39
sj,2009,49,52
sj,2009,50,38
sj,2009,51,35
sj,2009,52,22
sj,2010,53,27
sj,2010,1,20
sj,2010,2,22
sj,2010,3,13
sj,2010,4,13
sj,2010,5,13
sj,2010,6,14
sj,2010,7,15
sj,2010,8,12
sj,2010,9,10
sj,2010,10,5
sj,2010,11,5
sj,2010,12,8
sj,2010,13,6
sj,2010,14,2
sj,2010,15,5
sj,2010,16,3
sj,2010,17,4
sj,2010,18,6
sj,2010,19,4
sj,2010,20,3
sj,2010,21,7
sj,2010,22,14
sj,2010,23,12
sj,2010,24,25
sj,2010,25,18
sj,2010,26,32
sj,2010,27,74
sj,2010,28,98
sj,2010,29,65
sj,2010,30,113
sj,2010,31,57
sj,2010,32,53
sj,2010,33,54
sj,2010,34,115
sj,2010,35,110
sj,2010,36,86
sj,2010,37,68
sj,2010,38,65
sj,2010,39,67
sj,2010,40,58
sj,2010,41,72
sj,2010,42,72
sj,2010,43,70
sj,2010,44,71
sj,2010,45,46
sj,2010,46,39
sj,2010,47,40
sj,2010,48,37
sj,2010,49,37
sj,2010,50,25
sj,2010,51,15
sj,2011,52,7
sj,2011,1,9
sj,2011,2,12
sj,2011,3,14
sj,2011,4,15
sj,2011,5,15
sj,2011,6,8
sj,2011,7,15
sj,2011,8,9
sj,2011,9,6
sj,2011,10,4
sj,2011,11,5
sj,2011,12,4
sj,2011,13,5
sj,2011,14,0
sj,2011,15,3
sj,2011,16,1
sj,2011,17,1
sj,2011,18,3
sj,2011,19,2
sj,2011,20,3
sj,2011,21,2
sj,2011,22,4
sj,2011,23,7
sj,2011,24,20
sj,2011,25,19
sj,2011,26,26
sj,2011,27,15
sj,2011,28,30
sj,2011,29,37
sj,2011,30,35
sj,2011,31,31
sj,2011,32,59
sj,2011,33,66
sj,2011,34,39
sj,2011,35,35
sj,2011,36,38
sj,2011,37,68
sj,2011,38,63
sj,2011,39,29
sj,2011,40,55
sj,2011,41,55
sj,2011,42,45
sj,2011,43,36
sj,2011,44,41
sj,2011,45,50
sj,2011,46,21
sj,2011,47,26
sj,2011,48,29
sj,2011,49,13
sj,2011,50,5
sj,2011,51,11
sj,2012,52,6
sj,2012,1,12
sj,2012,2,12
sj,2012,3,12
sj,2012,4,14
sj,2012,5,14
sj,2012,6,12
sj,2012,7,11
sj,2012,8,11
sj,2012,9,10
sj,2012,10,7
sj,2012,11,7
sj,2012,12,5
sj,2012,13,3
sj,2012,14,4
sj,2012,15,6
sj,2012,16,4
sj,2012,17,5
sj,2012,18,4
sj,2012,19,3
sj,2012,20,4
sj,2012,21,5
sj,2012,22,7
sj,2012,23,11
sj,2012,24,13
sj,2012,25,12
sj,2012,26,18
sj,2012,27,25
sj,2012,28,39
sj,2012,29,67
sj,2012,30,43
sj,2012,31,32
sj,2012,32,39
sj,2012,33,51
sj,2012,34,40
sj,2012,35,36
sj,2012,36,31
sj,2012,37,57
sj,2012,38,52
sj,2012,39,51
sj,2012,40,61
sj,2012,41,46
sj,2012,42,55
sj,2012,43,43
sj,2012,44,46
sj,2012,45,36
sj,2012,46,47
sj,2012,47,38
sj,2012,48,19
sj,2012,49,25
sj,2012,50,21
sj,2012,51,24
sj,2013,1,27
sj,2013,2,35
sj,2013,3,28
sj,2013,4,25
sj,2013,5,21
sj,2013,6,14
sj,2013,7,15
sj,2013,8,15
sj,2013,9,14
sj,2013,10,5
sj,2013,11,7
sj,2013,12,8
sj,2013,13,17
sj,2013,14,7
sj,2013,15,5
sj,2013,16,3
sj,2013,17,4
iq,2010,26,2
iq,2010,27,4
iq,2010,28,4
iq,2010,29,5
iq,2010,30,20
iq,2010,31,15
iq,2010,32,13
iq,2010,33,4
iq,2010,34,2
iq,2010,35,4
iq,2010,36,3
iq,2010,37,3
iq,2010,38,3
iq,2010,39,6
iq,2010,40,5
iq,2010,41,7
iq,2010,42,4
iq,2010,43,10
iq,2010,44,8
iq,2010,45,11
iq,2010,46,9
iq,2010,47,7
iq,2010,48,7
iq,2010,49,10
iq,2010,50,9
iq,2010,51,9
iq,2011,52,9
iq,2011,1,7
iq,2011,2,9
iq,2011,3,9
iq,2011,4,18
iq,2011,5,11
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,8
iq,2011,10,7
iq,2011,11,7
iq,2011,12,6
iq,2011,13,5
