city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,8
sj,2008,20,7
sj,2008,21,8
sj,2008,22,7
sj,2008,23,8
sj,2008,24,6
sj,2008,25,7
sj,2008,26,13
sj,2008,27,16
sj,2008,28,18
sj,2008,29,26
sj,2008,30,28
sj,2008,31,27
sj,2008,32,36
sj,2008,33,44
sj,2008,34,51
sj,2008,35,54
sj,2008,36,113
sj,2008,37,46
sj,2008,38,63
sj,2008,39,70
sj,2008,40,68
sj,2008,41,64
sj,2008,42,45
sj,2008,43,39
sj,2008,44,28
sj,2008,45,33
sj,2008,46,27
sj,2008,47,28
sj,2008,48,28
sj,2008,49,20
sj,2008,50,42
sj,2008,51,37
sj,2008,52,82
sj,2009,1,25
sj,2009,2,15
sj,2009,3,14
sj,2009,4,17
sj,2009,5,14
sj,2009,6,13
sj,2009,7,12
sj,2009,8,13
sj,2009,9,12
sj,2009,10,11
sj,2009,11,7
sj,2009,12,6
sj,2009,13,8
sj,2009,14,4
sj,2009,15,6
sj,2009,16,6
sj,2009,17,5
sj,2009,18,6
sj,2009,19,6
sj,2009,20,5
sj,2009,21,4
sj,2009,22,11
sj,2009,23,12
sj,2009,24,7
sj,2009,25,12
sj,2009,26,13
sj,2009,27,14
sj,2009,28,23
sj,2009,29,27
sj,2009,30,34
sj,2009,31,42
sj,2009,32,41
sj,2009,33,34
sj,2009,34,47
sj,2009,35,37
sj,2009,36,37
sj,2009,37,37
sj,2009,38,51
sj,2009,39,38
sj,2009,40,53
sj,2009,41,45
sj,2009,42,32
sj,2009,43,36
sj,2009,44,43
sj,2009,45,41
sj,2009,46,35
sj,2009,47,37
sj,2009,48,42
sj,2009,49,36
sj,2009,50,40
sj,2009,51,27
sj,2009,52,24
sj,2010,53,26
sj,2010,1,25
sj,2010,2,20
sj,2010,3,19
sj,2010,4,15
sj,2010,5,14
sj,2010,6,15
sj,2010,7,15
sj,2010,8,15
sj,2010,9,13
sj,2010,10,11
sj,2010,11,10
sj,2010,12,7
sj,2010,13,11
sj,2010,14,7
sj,2010,15,6
sj,2010,16,6
sj,2010,17,7
sj,2010,18,7
sj,2010,19,5
sj,2010,20,9
sj,2010,21,11
sj,2010,22,13
sj,2010,23,15
sj,2010,24,15
sj,2010,25,25
sj,2010,26,27
sj,2010,27,106
sj,2010,28,105
sj,2010,29,52
sj,2010,30,120
sj,2010,31,34
sj,2010,32,35
sj,2010,33,49
sj,2010,34,118
sj,2010,35,71
sj,2010,36,65
sj,2010,37,104
sj,2010,38,66
sj,2010,39,78
sj,2010,40,71
sj,2010,41,74
sj,2010,42,72
sj,2010,43,57
sj,2010,44,55
sj,2010,45,46
sj,2010,46,37
sj,2010,47,39
sj,2010,48,35
sj,2010,49,31
sj,2010,50,19
sj,2010,51,14
sj,2011,52,9
sj,2011,1,10
sj,2011,2,15
sj,2011,3,12
sj,2011,4,17
sj,2011,5,10
sj,2011,6,14
sj,2011,7,10
sj,2011,8,8
sj,2011,9,8
sj,2011,10,7
sj,2011,11,8
sj,2011,12,4
sj,2011,13,5
sj,2011,14,4
sj,2011,15,5
sj,2011,16,4
sj,2011,17,4
sj,2011,18,3
sj,2011,19,4
sj,2011,20,4
sj,2011,21,6
sj,2011,22,8
sj,2011,23,9
sj,2011,24,12
sj,2011,25,16
sj,2011,26,17
sj,2011,27,21
sj,2011,28,19
sj,2011,29,19
sj,2011,30,34
sj,2011,31,28
sj,2011,32,48
sj,2011,33,59
sj,2011,34,41
sj,2011,35,46
sj,2011,36,70
sj,2011,37,59
sj,2011,38,46
sj,2011,39,51
sj,2011,40,57
sj,2011,41,45
sj,2011,42,52
sj,2011,43,41
sj,2011,44,39
sj,2011,45,42
sj,2011,46,40
sj,2011,47,19
sj,2011,48,18
sj,2011,49,10
sj,2011,50,0
sj,2011,51,6
sj,2012,52,9
sj,2012,1,15
sj,2012,2,19
sj,2012,3,17
sj,2012,4,18
sj,2012,5,13
sj,2012,6,13
sj,2012,7,12
sj,2012,8,9
sj,2012,9,8
sj,2012,10,7
sj,2012,11,5
sj,2012,12,4
sj,2012,13,3
sj,2012,14,4
sj,2012,15,3
sj,2012,16,4
sj,2012,17,5
sj,2012,18,4
