city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,9
sj,2008,20,9
sj,2008,21,8
sj,2008,22,9
sj,2008,23,8
sj,2008,24,10
sj,2008,25,11
sj,2008,26,8
sj,2008,27,16
sj,2008,28,17
sj,2008,29,27
sj,2008,30,14
sj,2008,31,56
sj,2008,32,35
sj,2008,33,67
sj,2008,34,55
sj,2008,35,74
sj,2008,36,99
sj,2008,37,79
sj,2008,38,73
sj,2008,39,76
sj,2008,40,67
sj,2008,41,86
sj,2008,42,56
sj,2008,43,46
sj,2008,44,54
sj,2008,45,29
sj,2008,46,23
sj,2008,47,29
sj,2008,48,27
sj,2008,49,28
sj,2008,50,28
sj,2008,51,52
sj,2008,52,86
sj,2009,1,22
sj,2009,2,17
sj,2009,3,17
sj,2009,4,19
sj,2009,5,15
sj,2009,6,14
sj,2009,7,14
sj,2009,8,12
sj,2009,9,11
sj,2009,10,9
sj,2009,11,5
sj,2009,12,6
sj,2009,13,5
sj,2009,14,2
sj,2009,15,4
sj,2009,16,4
sj,2009,17,5
sj,2009,18,3
sj,2009,19,3
sj,2009,20,3
sj,2009,21,1
sj,2009,22,8
sj,2009,23,5
sj,2009,24,7
sj,2009,25,10
sj,2009,26,10
sj,2009,27,13
sj,2009,28,32
sj,2009,29,24
sj,2009,30,46
sj,2009,31,37
sj,2009,32,50
sj,2009,33,32
sj,2009,34,43
sj,2009,35,56
sj,2009,36,62
sj,2009,37,65
sj,2009,38,62
sj,2009,39,62
sj,2009,40,82
sj,2009,41,80
sj,2009,42,66
sj,2009,43,78
sj,2009,44,59
sj,2009,45,69
sj,2009,46,42
sj,2009,47,41
sj,2009,48,45
sj,2009,49,54
sj,2009,50,49
sj,2009,51,50
sj,2009,52,28
sj,2010,53,29
sj,2010,1,20
sj,2010,2,20
sj,2010,3,15
sj,2010,4,16
sj,2010,5,18
sj,2010,6,21
sj,2010,7,17
sj,2010,8,14
sj,2010,9,14
sj,2010,10,8
sj,2010,11,9
sj,2010,12,8
sj,2010,13,8
sj,2010,14,8
sj,2010,15,14
sj,2010,16,7
sj,2010,17,9
sj,2010,18,7
sj,2010,19,4
sj,2010,20,17
sj,2010,21,11
sj,2010,22,11
sj,2010,23,15
sj,2010,24,22
sj,2010,25,32
sj,2010,26,58
sj,2010,27,79
sj,2010,28,96
sj,2010,29,99
sj,2010,30,114
sj,2010,31,72
sj,2010,32,50
sj,2010,33,76
sj,2010,34,90
sj,2010,35,65
sj,2010,36,63
sj,2010,37,70
sj,2010,38,81
sj,2010,39,79
sj,2010,40,68
sj,2010,41,65
sj,2010,42,56
sj,2010,43,77
sj,2010,44,61
sj,2010,45,48
sj,2010,46,48
sj,2010,47,54
sj,2010,48,46
sj,2010,49,49
sj,2010,50,23
sj,2010,51,13
sj,2011,52,13
sj,2011,1,18
sj,2011,2,17
sj,2011,3,13
sj,2011,4,14
sj,2011,5,16
sj,2011,6,12
sj,2011,7,10
sj,2011,8,10
sj,2011,9,8
sj,2011,10,5
sj,2011,11,7
sj,2011,12,5
sj,2011,13,4
sj,2011,14,4
sj,2011,15,4
sj,2011,16,3
sj,2011,17,3
sj,2011,18,4
sj,2011,19,5
sj,2011,20,4
sj,2011,21,6
sj,2011,22,8
sj,2011,23,11
sj,2011,24,15
sj,2011,25,16
sj,2011,26,17
sj,2011,27,16
sj,2011,28,42
sj,2011,29,36
sj,2011,30,58
sj,2011,31,43
sj,2011,32,54
sj,2011,33,67
sj,2011,34,41
sj,2011,35,50
sj,2011,36,74
sj,2011,37,65
sj,2011,38,50
sj,2011,39,39
sj,2011,40,57
sj,2011,41,26
sj,2011,42,49
sj,2011,43,45
sj,2011,44,39
sj,2011,45,48
sj,2011,46,49
sj,2011,47,21
sj,2011,48,17
sj,2011,49,12
sj,2011,50,5
sj,2011,51,11
sj,2012,52,11
sj,2012,1,16
sj,2012,2,16
sj,2012,3,23
sj,2012,4,18
sj,2012,5,16
sj,2012,6,17
sj,2012,7,13
sj,2012,8,11
sj,2012,9,12
sj,2012,10,8
sj,2012,11,6
sj,2012,12,6
sj,2012,13,4
sj,2012,14,5
sj,2012,15,3
sj,2012,16,4
sj,2012,17,6
sj,2012,18,4
sj,2012,19,3
sj,2012,20,7
sj,2012,21,8
sj,2012,22,6
sj,2012,23,18
sj,2012,24,31
sj,2012,25,25
sj,2012,26,48
sj,2012,27,43
sj,2012,28,55
sj,2012,29,59
sj,2012,30,19
sj,2012,31,31
sj,2012,32,41
sj,2012,33,37
sj,2012,34,35
sj,2012,35,45
sj,2012,36,50
sj,2012,37,69
sj,2012,38,69
sj,2012,39,63
sj,2012,40,74
sj,2012,41,57
sj,2012,42,48
sj,2012,43,53
sj,2012,44,50
sj,2012,45,47
sj,2012,46,51
sj,2012,47,46
