city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,6
sj,2008,20,4
sj,2008,21,7
sj,2008,22,5
sj,2008,23,6
sj,2008,24,8
sj,2008,25,16
sj,2008,26,8
sj,2008,27,7
sj,2008,28,7
sj,2008,29,7
sj,2008,30,11
sj,2008,31,11
sj,2008,32,21
sj,2008,33,29
sj,2008,34,19
sj,2008,35,28
sj,2008,36,52
sj,2008,37,52
sj,2008,38,29
sj,2008,39,39
sj,2008,40,33
sj,2008,41,28
sj,2008,42,45
sj,2008,43,21
sj,2008,44,22
sj,2008,45,20
sj,2008,46,28
sj,2008,47,25
sj,2008,48,18
sj,2008,49,17
sj,2008,50,20
sj,2008,51,20
sj,2008,52,15
sj,2009,1,10
sj,2009,2,11
sj,2009,3,11
sj,2009,4,10
sj,2009,5,10
sj,2009,6,11
sj,2009,7,10
sj,2009,8,5
sj,2009,9,4
sj,2009,10,6
sj,2009,11,4
sj,2009,12,4
sj,2009,13,4
sj,2009,14,4
sj,2009,15,4
sj,2009,16,4
sj,2009,17,5
sj,2009,18,4
sj,2009,19,4
sj,2009,20,3
sj,2009,21,3
sj,2009,22,7
sj,2009,23,6
sj,2009,24,7
sj,2009,25,7
sj,2009,26,7
sj,2009,27,5
sj,2009,28,16
sj,2009,29,10
sj,2009,30,17
sj,2009,31,15
sj,2009,32,11
sj,2009,33,21
sj,2009,34,22
sj,2009,35,42
sj,2009,36,49
sj,2009,37,23
sj,2009,38,26
sj,2009,39,26
sj,2009,40,40
sj,2009,41,41
sj,2009,42,30
sj,2009,43,22
sj,2009,44,19
sj,2009,45,18
sj,2009,46,18
sj,2009,47,35
sj,2009,48,28
sj,2009,49,22
sj,2009,50,20
sj,2009,51,20
sj,2009,52,19
sj,2010,53,13
sj,2010,1,12
sj,2010,2,15
sj,2010,3,7
sj,2010,4,12
sj,2010,5,12
sj,2010,6,9
sj,2010,7,10
sj,2010,8,10
sj,2010,9,11
sj,2010,10,5
sj,2010,11,8
sj,2010,12,8
sj,2010,13,6
sj,2010,14,6
sj,2010,15,5
sj,2010,16,7
sj,2010,17,6
sj,2010,18,10
sj,2010,19,7
sj,2010,20,7
sj,2010,21,10
sj,2010,22,9
sj,2010,23,15
sj,2010,24,19
sj,2010,25,10
sj,2010,26,12
sj,2010,27,16
sj,2010,28,27
sj,2010,29,12
sj,2010,30,12
sj,2010,31,20
sj,2010,32,24
sj,2010,33,38
sj,2010,34,44
sj,2010,35,64
sj,2010,36,66
sj,2010,37,26
sj,2010,38,30
sj,2010,39,25
sj,2010,40,25
sj,2010,41,39
sj,2010,42,24
sj,2010,43,29
sj,2010,44,20
sj,2010,45,26
sj,2010,46,19
sj,2010,47,17
sj,2010,48,17
sj,2010,49,16
sj,2010,50,16
sj,2010,51,19
sj,2011,52,19
sj,2011,1,8
sj,2011,2,11
sj,2011,3,13
sj,2011,4,14
sj,2011,5,12
sj,2011,6,11
sj,2011,7,11
sj,2011,8,7
sj,2011,9,4
sj,2011,10,4
sj,2011,11,4
sj,2011,12,4
sj,2011,13,4
sj,2011,14,5
sj,2011,15,4
sj,2011,16,3
sj,2011,17,5
sj,2011,18,4
sj,2011,19,4
sj,2011,20,4
sj,2011,21,4
sj,2011,22,8
sj,2011,23,7
sj,2011,24,6
sj,2011,25,10
sj,2011,26,8
sj,2011,27,10
sj,2011,28,8
sj,2011,29,8
sj,2011,30,17
sj,2011,31,13
sj,2011,32,21
sj,2011,33,25
sj,2011,34,18
sj,2011,35,27
sj,2011,36,25
sj,2011,37,27
sj,2011,38,25
sj,2011,39,23
sj,2011,40,25
sj,2011,41,24
sj,2011,42,19
sj,2011,43,22
sj,2011,44,23
sj,2011,45,18
sj,2011,46,21
sj,2011,47,18
sj,2011,48,20
sj,2011,49,18
sj,2011,50,18
sj,2011,51,18
sj,2012,52,18
sj,2012,1,13
sj,2012,2,17
sj,2012,3,13
sj,2012,4,11
sj,2012,5,5
sj,2012,6,8
sj,2012,7,9
sj,2012,8,4
sj,2012,9,6
sj,2012,10,6
sj,2012,11,4
sj,2012,12,4
sj,2012,13,3
sj,2012,14,4
sj,2012,15,5
sj,2012,16,4
sj,2012,17,5
sj,2012,18,6
sj,2012,19,3
sj,2012,20,7
sj,2012,21,5
sj,2012,22,6
sj,2012,23,7
sj,2012,24,11
sj,2012,25,12
sj,2012,26,13
sj,2012,27,14
sj,2012,28,9
sj,2012,29,7
sj,2012,30,13
sj,2012,31,13
sj,2012,32,19
sj,2012,33,21
sj,2012,34,19
sj,2012,35,21
sj,2012,36,26
sj,2012,37,18
sj,2012,38,18
sj,2012,39,20
sj,2012,40,24
sj,2012,41,22
sj,2012,42,26
sj,2012,43,24
sj,2012,44,38
sj,2012,45,23
sj,2012,46,24
sj,2012,47,21
sj,2012,48,20
sj,2012,49,22
sj,2012,50,18
sj,2012,51,16
sj,2013,1,14
sj,2013,2,14
sj,2013,3,7
sj,2013,4,10
sj,2013,5,11
sj,2013,6,6
sj,2013,7,10
sj,2013,8,7
sj,2013,9,7
sj,2013,10,5
sj,2013,11,6
sj,2013,12,5
sj,2013,13,6
sj,2013,14,4
sj,2013,15,6
sj,2013,16,5
sj,2013,17,3
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,3
iq,2010,30,2
iq,2010,31,3
iq,2010,32,3
