city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,3
sj,2008,20,4
sj,2008,21,6
sj,2008,22,5
sj,2008,23,9
sj,2008,24,7
sj,2008,25,12
sj,2008,26,11
sj,2008,27,11
sj,2008,28,13
sj,2008,29,15
sj,2008,30,18
sj,2008,31,28
sj,2008,32,53
sj,2008,33,50
sj,2008,34,39
sj,2008,35,46
sj,2008,36,103
sj,2008,37,142
sj,2008,38,77
sj,2008,39,63
sj,2008,40,78
sj,2008,41,50
sj,2008,42,58
sj,2008,43,41
sj,2008,44,22
sj,2008,45,41
sj,2008,46,33
sj,2008,47,29
sj,2008,48,21
sj,2008,49,16
sj,2008,50,14
sj,2008,51,12
sj,2008,52,8
sj,2009,1,7
sj,2009,2,7
sj,2009,3,7
sj,2009,4,7
sj,2009,5,6
sj,2009,6,5
sj,2009,7,6
sj,2009,8,4
sj,2009,9,5
sj,2009,10,3
sj,2009,11,2
sj,2009,12,2
sj,2009,13,2
sj,2009,14,2
sj,2009,15,2
sj,2009,16,2
sj,2009,17,2
sj,2009,18,2
sj,2009,19,1
sj,2009,20,2
sj,2009,21,2
sj,2009,22,6
sj,2009,23,5
sj,2009,24,5
sj,2009,25,7
sj,2009,26,8
sj,2009,27,19
sj,2009,28,31
sj,2009,29,22
sj,2009,30,31
sj,2009,31,49
sj,2009,32,42
sj,2009,33,52
sj,2009,34,42
sj,2009,35,66
sj,2009,36,50
sj,2009,37,27
sj,2009,38,25
sj,2009,39,41
sj,2009,40,65
sj,2009,41,72
sj,2009,42,78
sj,2009,43,35
sj,2009,44,39
sj,2009,45,14
sj,2009,46,17
sj,2009,47,31
sj,2009,48,27
sj,2009,49,12
sj,2009,50,11
sj,2009,51,10
sj,2009,52,8
sj,2010,53,4
sj,2010,1,6
sj,2010,2,8
sj,2010,3,13
sj,2010,4,7
sj,2010,5,5
sj,2010,6,5
sj,2010,7,7
sj,2010,8,6
sj,2010,9,8
sj,2010,10,6
sj,2010,11,5
sj,2010,12,6
sj,2010,13,5
sj,2010,14,5
sj,2010,15,2
sj,2010,16,3
sj,2010,17,8
sj,2010,18,10
sj,2010,19,4
sj,2010,20,8
sj,2010,21,9
sj,2010,22,12
sj,2010,23,20
sj,2010,24,12
