city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,8
sj,2008,20,7
sj,2008,21,6
sj,2008,22,7
sj,2008,23,6
sj,2008,24,9
sj,2008,25,12
sj,2008,26,9
sj,2008,27,12
sj,2008,28,28
sj,2008,29,20
sj,2008,30,28
sj,2008,31,58
sj,2008,32,25
sj,2008,33,48
sj,2008,34,32
sj,2008,35,39
sj,2008,36,57
sj,2008,37,45
sj,2008,38,40
sj,2008,39,52
sj,2008,40,57
sj,2008,41,65
sj,2008,42,52
sj,2008,43,42
sj,2008,44,36
sj,2008,45,38
sj,2008,46,28
sj,2008,47,27
sj,2008,48,30
sj,2008,49,18
sj,2008,50,26
sj,2008,51,45
sj,2008,52,84
sj,2009,1,27
sj,2009,2,17
sj,2009,3,16
sj,2009,4,16
sj,2009,5,13
sj,2009,6,14
sj,2009,7,11
sj,2009,8,11
sj,2009,9,10
sj,2009,10,10
sj,2009,11,7
sj,2009,12,6
sj,2009,13,6
sj,2009,14,5
sj,2009,15,5
sj,2009,16,5
sj,2009,17,4
sj,2009,18,4
sj,2009,19,4
sj,2009,20,3
sj,2009,21,4
sj,2009,22,9
sj,2009,23,6
sj,2009,24,7
sj,2009,25,10
sj,2009,26,9
sj,2009,27,13
sj,2009,28,14
sj,2009,29,23
sj,2009,30,26
sj,2009,31,29
sj,2009,32,35
sj,2009,33,33
sj,2009,34,36
sj,2009,35,61
sj,2009,36,63
sj,2009,37,50
sj,2009,38,53
sj,2009,39,45
sj,2009,40,70
sj,2009,41,67
sj,2009,42,77
sj,2009,43,73
sj,2009,44,51
sj,2009,45,68
sj,2009,46,42
sj,2009,47,45
sj,2009,48,49
sj,2009,49,77
sj,2009,50,55
sj,2009,51,56
sj,2009,52,31
sj,2010,53,22
sj,2010,1,31
sj,2010,2,21
sj,2010,3,13
sj,2010,4,18
sj,2010,5,16
sj,2010,6,18
sj,2010,7,14
sj,2010,8,15
sj,2010,9,10
sj,2010,10,8
sj,2010,11,10
sj,2010,12,9
sj,2010,13,9
sj,2010,14,9
sj,2010,15,5
sj,2010,16,4
sj,2010,17,4
sj,2010,18,6
sj,2010,19,5
sj,2010,20,7
sj,2010,21,11
sj,2010,22,8
sj,2010,23,14
sj,2010,24,23
sj,2010,25,23
sj,2010,26,38
sj,2010,27,47
sj,2010,28,72
sj,2010,29,74
sj,2010,30,103
sj,2010,31,88
sj,2010,32,52
sj,2010,33,81
sj,2010,34,69
sj,2010,35,77
sj,2010,36,80
sj,2010,37,67
sj,2010,38,88
sj,2010,39,73
sj,2010,40,87
sj,2010,41,80
sj,2010,42,71
sj,2010,43,63
sj,2010,44,60
sj,2010,45,57
sj,2010,46,50
sj,2010,47,55
sj,2010,48,55
sj,2010,49,33
sj,2010,50,23
sj,2010,51,11
sj,2011,52,12
sj,2011,1,14
sj,2011,2,17
sj,2011,3,14
sj,2011,4,15
sj,2011,5,16
sj,2011,6,14
sj,2011,7,9
sj,2011,8,10
sj,2011,9,9
sj,2011,10,7
sj,2011,11,6
sj,2011,12,5
sj,2011,13,5
sj,2011,14,5
sj,2011,15,4
sj,2011,16,3
sj,2011,17,4
sj,2011,18,5
sj,2011,19,4
sj,2011,20,4
sj,2011,21,5
sj,2011,22,7
sj,2011,23,12
sj,2011,24,14
sj,2011,25,16
sj,2011,26,18
sj,2011,27,17
sj,2011,28,28
sj,2011,29,45
